Date,Action/State,price
"2021-08-06, Close, 1915.16"
"2021-08-09, Close, 1904.25"
"2021-08-10, Close, 1914.24"
"2021-08-11, Close, 1941.05"
"2021-08-12, Close, 1934.82"
"2021-08-13, Close, 1967.05"
"2021-08-16, Close, 1992.58"
"2021-08-17, Close, 1984.10"
"2021-08-18, Close, 1991.80"
"2021-08-20, Close, 1969.43"
"2021-08-23, Close, 1982.36"
"2021-08-24, Close, 2001.93"
"2021-08-25, Close, 2019.25"
"2021-08-26, Close, 2044.79"
"2021-08-27, Close, 2041.99"
"2021-08-30, Close, 2081.27"
"2021-08-31, Close, 2070.18"
"2021-09-01, Close, 2078.39"
"2021-09-02, Close, 2103.41"
"2021-09-03, Close, 2189.68"
"2021-09-06, Close, 2223.69"
"2021-09-07, Close, 2237.72"
"2021-09-08, Close, 2228.96"
"2021-09-09, Close, 2223.69"
"2021-09-13, Close, 2174.14"
"2021-09-14, Close, 2171.30"
"2021-09-15, Close, 2180.33"
"2021-09-16, Close, 2226.08"
"2021-09-17, Close, 2191.56"
"2021-09-20, Close, 2195.04"
"2021-09-21, Close, 2204.53"
"2021-09-22, Close, 2228.18"
"2021-09-23, Close, 2282.64"
"2021-09-24, Close, 2276.04"
"2021-09-27, Close, 2314.31"
"2021-09-28, Close, 2335.95"
"2021-09-29, Close, 2317.43"
"2021-09-30, Close, 2309.55"
"2021-10-01, Close, 2313.63"
"2021-10-04, Close, 2343.38"
"2021-10-05, Close, 2392.01"
"2021-10-06, Close, 2346.77"
"2021-10-07, Close, 2358.27"
"2021-10-08, Close, 2448.89"
"2021-10-11, Close, 2431.84"
"2021-10-12, Close, 2445.73"
"2021-10-13, Close, 2470.62"
"2021-10-14, Close, 2475.62"
"2021-10-18, Close, 2482.22"
"2021-10-19, Close, 2504.45"
"2021-10-20, Close, 2475.62"
"2021-10-21, Close, 2404.20"
"2021-10-22, Close, 2408.69"
"2021-10-25, Close, 2385.22"
"2021-10-26, Close, 2439.54"
"2021-10-27, Close, 2408.69"
"2021-10-28, Close, 2382.29"
"2021-10-29, Close, 2325.13"
"2021-11-01, Close, 2326.55"
"2021-11-02, Close, 2292.63"
"2021-11-03, Close, 2276.86"
"2021-11-04, Close, 2290.84"
"2021-11-08, Close, 2293.69"
"2021-11-09, Close, 2311.79"
"2021-11-10, Close, 2337.65"
"2021-11-11, Close, 2341.91"
"2021-11-12, Close, 2377.25"
"2021-11-15, Close, 2363.22"
"2021-11-16, Close, 2308.31"
"2021-11-17, Close, 2258.90"
"2021-11-18, Close, 2267.42"
"2021-11-22, Close, 2166.99"
"2021-11-23, Close, 2187.25"
"2021-11-24, Close, 2155.67"
